"","i","con.e","con.se","tre.e","tre.se"
"617",617,154.64,39.721,213.33,41.898
"618",618,196.831,39.595,222.142,35.544
"619",619,248.41,35.101,286.699,24.345
"620",620,221.726,38.564,217.477,43.247
"621",621,157.24,43.634,203.963,45.984
"622",622,178.536,40.082,196.442,43.197
"623",623,213.161,45.241,262.299,37.378
"624",624,146.659,41.949,187.887,40.863
"625",625,265.588,45.93,192.899,37.867
"626",626,126.911,39.497,296.101,26.353
"627",627,219.923,42.651,255.873,37.269
"628",628,247.86,36.644,195.721,39.313
"629",629,160.11,28.991,76.18,23.245
"630",630,284.286,35.051,204.207,38.932
"631",631,204.815,39.892,160.103,35.99
"632",632,204.189,44.666,274.54,30.497
"633",633,200.082,39.773,229.721,42.51
"634",634,110.426,31.273,208.067,43.603
"635",635,227.858,39.23,201.97,42.144
"636",636,197.201,50.002,123.59,39.914
"637",637,303.508,29.784,186.981,35.476
"638",638,207.269,37.402,184.345,40.551
"639",639,226.239,46.447,228.425,38.801
"640",640,83.144,20.53,142.67,17.272
"641",641,196.029,42.986,193.088,40.619
"642",642,190.28,40.08,147.127,36.755
"643",643,209.427,45.167,136.155,44.929
"644",644,177.238,22.359,193.602,22.234
"645",645,141.282,38.874,183.657,38.604
"646",646,153.33,40.134,214.619,48.419
"647",647,209.639,33.444,158.129,36.287
"648",648,243.272,27.266,215.301,47.736
"649",649,200.927,28.907,150.898,36.198
"650",650,203.067,42.174,223.759,35.396
"651",651,209.048,44.806,230.241,42.786
"652",652,196.55,41.889,212.742,36.845
"653",653,186.767,40.558,195.353,43.445
"654",654,246.807,39.249,191.151,42.168
"655",655,182.275,32.773,242.696,41.806
"656",656,242.557,35.435,186.869,43.421
"657",657,206.089,35.186,147.584,33.031
"658",658,207.168,40.129,169.305,38.233
"659",659,202.228,41.522,243.841,44.152
"660",660,138.665,39.289,225.664,47.173
